Point,Longitude,Latitude,weekday_daytime_no2,weekday_nighttime_no2,population_1000m,population_3000m,population_5000m,roadlength_1000m,roadlength_3000m,roadlength_5000m
247,9.224786,49.165508,26.99411765,28.38009096,6149.914062,46297.46484,100922.1641,15034.07813,166296.4375,414085.6563
248,9.22589,49.146,71.00362016,35.88575013,8951.617188,53082.1875,95654.8125,38318.55859,187189.9219,382320.0313
249,9.227769,48.678069,27.79426894,29.71369794,6685.592285,34419.28125,85923.97656,24983.08594,103852.5547,296670.0938
250,9.229745,48.8088,30.99779514,30.98174524,13862.97168,99412.60938,235054.0625,39131.39844,219447.1563,572005.875
251,9.271233,51.360755,9.657933999,7.761774115,5.0327,3002.471436,7029.510742,0,38119.64063,118898.9688
252,9.363674,54.616669,8.879652677,10.16391679,802.901001,2328.985352,4012.811279,9926.37207,27359.81445,70958.875
253,9.399441,50.16443,7.832517213,7.713365385,89.218399,476.414612,1822.532104,4694.428711,18234.99805,47856.79688
254,9.43809,54.78143,39.04762693,22.64675012,7395.445801,39588.25781,68608.46875,30102.24805,171436.5625,324545.0938
255,9.459402,50.770381,8.750637066,8.684747475,1.278863,707.768616,3203.287842,0,15491.29981,78317.11719
256,9.483397,51.314248,22.10938957,22.37365877,10648.02832,69758.84375,155076.5781,42869.98438,232739.5156,584938.8125
257,9.485675,47.660056,25.42922132,21.44894684,8919.766602,30451.16016,44524.5625,33325.85156,116909.7344,208028.2344
258,9.49112,51.312076,48.18923717,29.26333333,8460.613281,68916.40625,157575.8438,36681.10156,209174.1719,592257.5625
259,9.511769,53.928028,43.45388611,25.92289116,5196.421875,20245.86523,28857.3457,24911.65234,113266.2578,181576.2656
260,9.55462,51.70884,9.028293229,8.266477516,1.702309,549.207764,904.251221,0,8386.919922,22061.82813
261,9.62295,52.82943,12.91715206,13.11357066,515.075317,2227.638672,10155.11523,10144.74609,36299.96484,112872.9063
262,9.657919,49.634841,14.5058873,13.95178841,2347.528564,7450.725586,11581.71289,15649.97656,77169.41406,134369.5
263,9.680167,50.546384,21.65587797,22.188648,7621.101562,42109,63446.86719,23097.03516,207500.0469,388958.625
264,9.684854,50.550028,48.16728884,29.92223558,8011.608887,43650.61719,63414.66406,26340.23828,215433.3281,388084.7188
265,9.68503,53.52418,13.33375727,14.21602653,1463.313843,5254.823242,10652.5918,10288.77539,47424.92188,85149.90625
266,9.688869,47.557473,29.92611525,18.70392308,4748.713867,18238.98828,31696.11328,25863.07031,97649.94531,187654.4844
267,9.70612,52.36292,19.16333333,20.18035013,9130.702148,73820.85938,167588.9375,25277.51758,242890.3125,599009.3125
268,9.7155,52.359478,54.0736172,36.6745281,9133.419922,70959.4375,167558.4531,26735.57422,247188.6875,615026.6875
269,9.733231,49.107878,20.13544734,19.48613811,4308.438965,18777.26563,30236.19922,33319.04297,144858.0156,251604.75
270,9.774588,51.291757,6.847317687,6.454202335,0,9.600951,4512.321289,0,2491.161133,61081.98047
271,9.786234,53.568124,26.28556314,23.13337143,1753.469971,24248.15039,66788.96094,16373.40918,120890.9688,252802.6719
272,9.80026,50.970024,17.79240894,14.72965385,3595.4375,9477.581055,14919.13672,33492.85547,86448.32031,150357.8594
273,9.800325,48.089886,16.95677564,17.86069277,5111.735352,22234.01367,33243.50391,23080.48633,122679.375,234886
274,9.832702,53.532075,16.4439414,18.32633782,1938.21814,23586.75586,71582.19531,4486.478516,62159.35547,231306.4063
275,9.84408,53.535958,19.10226681,19.38519,5894.815918,27189.29102,95601.24219,10530.19434,83756.96875,273852
276,9.857223,53.480927,13.60300664,13.93602021,3817.010986,25217.76172,61744.56641,19317.4707,92607.54688,177119.6719
277,9.92833,51.5302,45.79028381,30.81466133,8978.402344,55160.14063,88762.1875,28177.21094,190290.1563,331295.9063
278,9.935862,50.497711,5.776546961,5.343221154,260.642609,869.700195,3714.262207,777.379883,25620.45117,88530.67969
279,9.943012,53.555668,56.29864595,34.13707692,11926.54688,92038.44531,236032.5,42768.41406,230325.2656,499532.0625
280,9.94458,53.564399,52.01148076,37.52282212,11877.31641,97143.75,236587.9063,30395.94141,260094.5313,541302.0625
281,9.944815,53.545269,30.85791309,30.90871992,7915.828125,86494.71875,233495.0625,29819.55273,177939.875,464145.5625
282,9.947654,49.790526,47.44463056,31.27197436,9352.365234,52970.79688,97395.54688,34987.94531,190956.7188,367130.4063
283,9.94976,51.55107,17.17883005,15.15826525,5842.581543,42130.45703,84008.99219,20647.69922,147527.875,316427.1563
284,9.95642,49.804695,26.7143204,23.53385063,6662.240234,48793.92969,91087.99219,23156.06641,178581.0625,347093.8438
285,9.957236,53.560632,58.79764755,40.12879211,11936.92578,96834.94531,247097.5938,37629.89844,261880.2031,545737.5625
286,9.967882,53.56414,26.89557616,26.40176209,11650.36523,95600.77344,251989.7344,32369.94141,270900.375,566272.0625
287,9.979031,48.396836,29.44676299,27.5814257,10698.75098,54669.94531,107054.7031,31585.7168,198280.7031,383907.375
288,9.981599,53.529158,37.63183832,33.737,9864.749023,83565.59375,232255.1719,5983.45752,117941.5,367705.125
289,9.990569,53.50793,26.48881798,26.84426577,9616.549805,76904.75,195166.1563,19623.70898,94117.64063,227530.1094
290,9.997256,53.681993,48.55433536,30.65613308,7273.066406,44592.22656,88146.85156,23880.51367,171093.4375,317453.3125
291,9.998009,53.638291,23.4041807,20.55621331,6029.381836,59195.09375,150213.4375,8789.732422,152820.1719,423772.8438
292,10.008293,48.397079,30.71195652,30.43848558,8092.588379,54171.85938,96030.00781,31902.11328,203502.4219,373058.6875
293,10.021227,53.523262,36.08154806,32.50637438,9418.500977,76622.39844,215368.0938,14582.22754,99596.04688,313205.7188
294,10.053859,53.592301,74.56284325,42.89877413,10419.62012,88688.96875,222756.9531,34317.21094,265563.7188,646760.625
295,10.081685,53.52902,26.52355143,27.55148649,11167.11035,77030.92188,185797.5156,5462.023438,97921.5625,335725.4688
296,10.096292,48.847917,20.84728443,22.12134945,6023.230957,30918.75391,45639.45703,26897.01367,176265.6875,278326.3438
297,10.1056,54.34761,14.52629989,12.37821092,5701.375488,55544.10938,110894.0703,18192.58203,189140.375,351467.2188
298,10.110595,53.63074,18.05361726,16.33444444,7083.783203,59985.44531,161008.3438,27464.2207,220573.6563,549974.9375
299,10.116563,54.309674,17.61946533,15.97461145,9490.582031,61255.16406,134753.2344,30495.28906,184198.8125,428739.5313
300,10.122364,54.304242,70.08306993,43.71244326,8503.613281,58804.19922,130336.2188,23044.73047,176717.2813,414701.4375
301,10.135158,54.304676,52.68856985,28.84816109,9510.4375,62627.54688,130499.0625,27024.55078,188735.9688,418706.4688
302,10.232076,50.048397,27.03344818,20.05001442,7108.483398,40975.82031,57472.23047,39620.46094,183477.3906,275100.0938
303,10.23854,51.50758,11.78242821,12.14987034,2388.451416,10930.96191,15289.61816,10782.52344,71752.3125,128685.6406
304,10.240596,54.09323,9.056456432,10.09377286,30.356827,2487.466797,6730.425781,0,30844.875,75415.75
305,10.306561,47.72514,22.07233673,19.60162019,9700.816406,45027.97656,63620.08594,39278.39063,162002.4531,254095.5469
306,10.317236,50.978292,14.41919878,14.81095192,6845.911133,24798.99609,30166.76367,34802.01563,113691.9531,156109.9219
307,10.325,49.44406,11.72679394,13.43348011,714.065186,2438.54248,3913.675781,16202.98926,43383.57031,63272.45313
308,10.375299,50.561754,9.249682451,9.995742718,2048.062012,5605.512695,17453.16797,11973.16211,46563.78516,156983.5469
309,10.404232,47.518013,8.243133793,5.200841751,505.814514,1921.623901,4147.077637,2159.905518,13990.53125,38269.61719
310,10.42275,51.61365,25.62380039,20.06317965,1480.593506,5326.532227,8808.852539,14091.99414,49057.34375,94469.57031
311,10.448432,51.205226,32.01518539,20.97520482,5404.589355,22144.30859,27428.3125,31737.16016,131664.4688,187540.3438
312,10.450997,51.207944,16.32838415,15.04080288,5670.100098,22534.67969,26982.63281,34030.13672,134483.2969,178225.625
313,10.45591,52.15369,17.1179949,16.49454004,760.539917,10844.83203,39366.08203,3794.214844,40610.28125,149502.4375
314,10.4565,53.24696,17.27430881,17.80660256,4648.95459,24387.2832,55992.96875,12059.14941,110745.125,308216.625
315,10.47364,52.22694,13.95162636,15.06507154,1770.977661,21984.29102,62772.86719,9805.375,91568.74219,280166.4688
316,10.48132,51.90158,11.29124861,8.746608187,4050.921631,13894.00977,32125.5332,17535.61328,66866.85938,199396.7969
317,10.54055,52.26673,42.48789385,26.44962234,7634.504883,57194.30859,121332.3203,39509.54688,220261.3125,444145.9375
318,10.572297,49.304889,37.99016561,27.39006731,5584.28125,20051.99219,26323.85156,34637.88281,134565.2969,189829.25
319,10.59772,48.95218,14.32767313,17.69742761,1954.408691,4284.114258,7218.997559,22720.23047,52723.46094,103529.25
320,10.61248,51.75816,6.014269788,5.647735546,137.055222,586.879883,3774.566406,0,6546.740234,31595.10938
321,10.618275,51.798629,3.923051695,3.616592878,113.31015,114.05545,851.89563,0,0,2934.527344
322,10.664881,53.87453,37.70160562,27.53482376,7801.808594,55221.88281,107630.1875,24848.67188,193908.5313,377367.875
323,10.668641,50.653245,14.88137797,16.29292788,2884.032471,9275.913086,17155.84961,22156.7207,54399.31641,137835.5625
324,10.67332,53.862237,30.70436639,24.22943187,7598.662598,57521.17188,109252.6641,27588.36523,196243.3125,393016.8125
325,10.693092,50.61153,34.56991439,22.44143269,5739.228516,17871.66016,28509.16016,32781.30469,126535,185829.1875
326,10.695936,53.835492,13.8068011,13.94936477,4227.26416,27026.64648,73836.3125,15427.56641,117068.2969,313831.6563
327,10.756733,52.800773,6.528772237,7.396407915,4.249076,179.194992,817.588989,0,11039.37598,40222.125
328,10.769534,50.654066,5.080335097,4.245494726,440.404358,543.169678,2427.458252,3945.453613,16914.28906,62154.19922
329,10.775796,53.698939,42.04064516,24.68586006,1856.230225,11696.78906,13409.29883,10431.38379,78115.1875,112248.1328
330,10.787135,50.619181,5.080335097,4.245494726,0,1414.801758,2829.604248,2212.278809,28002.93555,71058.49219
331,10.790143,51.839382,14.43933946,13.47796439,6079.508789,19346.94141,24284.26172,33804.63281,108868.0781,163219
332,10.791404,51.497195,18.2206844,15.53953208,5701.510742,24098.44336,30511.26563,29222.31055,121247.2344,185324.75
333,10.793683,52.427886,39.10930401,25.24220627,6161.026855,32207.02734,61495.8125,31549.77344,174316.7344,360522.8125
334,10.81638,52.44081,19.23878771,18.61145811,2688.38208,28102.59766,52487.50391,14878.91602,172216.2031,322981.5625
335,10.867188,51.333333,6.105524495,5.885892256,43.901199,482.901978,10079.95703,0,6159.711914,80255.00781
336,10.887686,49.89833,24.74015152,24.09053846,8204.317383,49736.52344,72397.78906,25774.51367,136121.9063,241711.3594
337,10.88837,48.376576,27.50867052,25.28088547,12109.98633,99507.45313,204492.1875,42079.60938,283658.7813,582645.125
338,10.895029,48.364589,30.85375723,25.8389375,12498.23926,99259.64063,206611.9531,39609.03516,271033.8438,573808.5
339,10.896221,48.370237,55.88103534,31.07052885,12419.18457,101284.5,205875.5938,44644.78516,278862.9375,572213.9375
340,10.903051,48.326013,18.23002492,20.57767677,9037.571289,45806.95703,122370.4297,23563.5,114548.8984,344850.875
341,10.963528,49.605914,17.77750758,20.45946937,2928.781982,22416.98047,70203.20313,16829.39844,120476.9453,340016.3438
342,11.019353,50.984874,41.3160927,27.15038574,8800.542969,64635.14063,113658.4219,34300.875,243303.4531,412139.875
343,11.0248,49.462229,30.26465398,31.20888942,10541.35156,85643.50781,222379.0625,18948.70313,209502.9375,573645.8125
344,11.02792,49.32273,22.3372161,23.77600869,7157.429199,28028.14453,45903.45313,29296.37305,129754.3047,230198.7969
345,11.036096,49.440478,51.80154656,37.99361969,10243.36914,93025.50781,231874.9531,31280.95313,238827.6875,644946.9375
346,11.037924,50.979455,22.49467165,18.01789904,9983.62207,67147.78125,114263.6172,42090.69531,243841.6719,413530.25
347,11.043386,51.662435,4.740913649,4.379518768,0,774.273315,2362.753418,0,12821.10156,46632.41016
348,11.056578,50.993127,13.20464009,15.78395192,4769.069336,47377.25,111304.5,15377.35547,152264.9375,384513.7813
349,11.05722,47.47706,10.76421271,9.96969216,1703.302368,10440.93945,22621.0293,4628.973145,55546.59766,117653.5938
350,11.057442,51.896982,13.07960134,14.27925157,5506.963379,23546.75,27269.55859,30523.27344,114069.4219,155458.4063
351,11.088444,49.44591,36.21315514,33.04057212,11753.62695,96623.49219,230681.1875,49149.25391,316255.2813,620860.0625
352,11.134593,50.499955,5.916264224,5.524134755,1602.181396,5737.808105,7886.338379,7792.936523,35269.75391,70857.5625
353,11.16705,52.95702,10.03065706,10.77073248,711.452515,5248.600098,8126.422852,1526.14502,57052.98828,105169.6563
354,11.172327,52.593136,6.486040897,6.993290829,2.275148,248.193207,2815.496582,0,11146.38574,57044.71875
355,11.220172,47.968753,7.882009967,6.674773166,212.52182,2536.806641,9325.808594,1931.252563,28691.95703,87194.07031
356,11.321017,50.982185,17.12441119,18.25621934,10429.87695,38120.32031,47979.01563,42000.78906,141431.0938,217105.375
357,11.32607,50.977462,27.0534609,20.3539442,8208.073242,37941.08203,48909.58203,33836.30078,146474.0625,222029.5781
358,11.362965,53.302352,6.019386062,6.698566485,209.867035,566.449951,1534.2052,5595.050781,21185.67578,57119.04297
359,11.368875,50.651182,14.70010497,14.15516595,5513.749023,17322.00781,22491.07031,22133.39453,103467.8594,140544.6563
360,11.398332,53.631805,22.88273103,15.2387715,7098.518555,31000.66602,51413.32031,32076.35352,131652.2031,234768
